Product_Name,Price,Rating,Brand,Category
Soul Reader,39.58,Two,H&M,Clothing
Security,39.25,Two,H&M,Clothing
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,Nike,Clothing
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,Nike,Clothing
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,Zara,Clothing
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,Forever21,Clothing
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,Nike,Clothing
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,Urbanic,Clothing
"Pop Gun War, Volume 1: Gift",18.97,One,Nike,Clothing
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,H&M,Clothing
Patience,10.16,Three,Forever21,Clothing
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,Forever21,Clothing
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,H&M,Clothing
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,H&M,Clothing
On a Midnight Clear,14.07,Three,Zara,Clothing
Obsidian (Lux #1),14.86,Two,Zara,Clothing
My Paris Kitchen: Recipes and Stories,33.37,Two,H&M,Clothing
Masks and Shadows,56.4,Two,Forever21,Clothing
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,Forever21,Clothing
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,Urbanic,Clothing
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,Zara,Clothing
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,Nike,Clothing
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,Nike,Clothing
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,Forever21,Clothing
Join,35.67,Five,H&M,Clothing
In the Country We Love: My Family Divided,22,Four,H&M,Clothing
